PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35885872","Clinical and Biological Adaptations in Obese Older Adults Following 12-Weeks of High-Intensity Interval Training or Moderate-Intensity Continuous Training","Youssef L, Granet J, Marcangeli V, Dulac M, Hajj-Boutros G, Reynaud O, Buckinx F, Gaudreau P, Morais JA, Mauriège P, Gouspillou G, Noirez P, Aubertin-Leheudre M.","Healthcare (Basel). 2022 Jul 20;10(7):1346. doi: 10.3390/healthcare10071346.","Youssef L","Healthcare (Basel)","2022","2022/07/27","PMC9315493","","10.3390/healthcare10071346"
"35856515","[Exercise training with blood flow restriction : mechanisms and applications]","Guedria M, Besson C, Millet GP, Gremeaux V.","Rev Med Suisse. 2022 Jul 20;18(790-2):1464-1469. doi: 10.53738/REVMED.2022.18.790-2.1464.","Guedria M","Rev Med Suisse","2022","2022/07/20","","","10.53738/REVMED.2022.18.790-2.1464"
"35928565","Acute effects of mixed circuit training on hemodynamic and cardiac autonomic control in chronic hemiparetic stroke patients: A randomized controlled crossover trial","Fonseca GF, Midgley AW, Billinger SA, Michalski AC, Costa VAB, Monteiro W, Farinatti P, Cunha FA.","Front Physiol. 2022 Jul 19;13:902903. doi: 10.3389/fphys.2022.902903. eCollection 2022.","Fonseca GF","Front Physiol","2022","2022/08/05","PMC9343773","","10.3389/fphys.2022.902903"
"35854321","Effects of ATLAS 2030 gait exoskeleton on strength and range of motion in children with spinal muscular atrophy II: a case series","Cumplido-Trasmonte C, Ramos-Rojas J, Delgado-Castillejo E, Garcés-Castellote E, Puyuelo-Quintana G, Destarac-Eguizabal MA, Barquín-Santos E, Plaza-Flores A, Hernández-Melero M, Gutiérrez-Ayala A, Martínez-Moreno M, García-Armada E.","J Neuroeng Rehabil. 2022 Jul 19;19(1):75. doi: 10.1186/s12984-022-01055-x.","Cumplido-Trasmonte C","J Neuroeng Rehabil","2022","2022/07/19","PMC9297544","","10.1186/s12984-022-01055-x"
"35854224","Exercise training and NR supplementation to improve muscle mass and fitness in adolescent and young adult hematopoietic cell transplant survivors: a randomized controlled trial {1}","Song M, Armenian SH, Bhandari R, Lee K, Ness K, Putt M, Lindenfeld L, Manoukian S, Wade K, Dedio A, Guzman T, Hampton I, Lin K, Baur J, McCormack S, Mostoufi-Moab S.","BMC Cancer. 2022 Jul 19;22(1):795. doi: 10.1186/s12885-022-09845-1.","Song M","BMC Cancer","2022","2022/07/19","PMC9295440","","10.1186/s12885-022-09845-1"
"36051451","Metabolic and functional effects of exercise training in diabetic kidney transplant recipients","Michou V, Nikodimopoulou M, Deligiannis A, Kouidi E.","World J Transplant. 2022 Jul 18;12(7):184-194. doi: 10.5500/wjt.v12.i7.184.","Michou V","World J Transplant","2022","2022/09/02","PMC9331407","","10.5500/wjt.v12.i7.184"
"35924210","Strength training in elderly: An useful tool against sarcopenia","Cannataro R, Cione E, Bonilla DA, Cerullo G, Angelini F, D'Antona G.","Front Sports Act Living. 2022 Jul 18;4:950949. doi: 10.3389/fspor.2022.950949. eCollection 2022.","Cannataro R","Front Sports Act Living","2022","2022/08/04","PMC9339797","","10.3389/fspor.2022.950949"
"35885857","Evaluation of Ibuprofen Use on the Immune System Indicators and Force in Disabled Paralympic Powerlifters of Different Sport Levels","Aidar FJ, Fraga GS, Getirana-Mota M, Marçal AC, Santos JL, de Souza RF, Vieira-Souza LM, Ferreira ARP, de Matos DG, de Almeida-Neto PF, Garrido ND, Díaz-de-Durana AL, Knechtle B, de Araújo Tinoco Cabral BG, Murawska-Ciałowicz E, Nobari H, Silva AF, Clemente FM, Badicu G.","Healthcare (Basel). 2022 Jul 18;10(7):1331. doi: 10.3390/healthcare10071331.","Aidar FJ","Healthcare (Basel)","2022","2022/07/27","PMC9323516","","10.3390/healthcare10071331"
"35852373","Eccentric Force Velocity Profiling: Motor Control Strategy Considerations and Relationships to Strength and Jump Performance","Barker L, Siedlik J, Magrini M, Uesato S, Wang H, Sjovold A, Ewing G, Harry JR.","J Strength Cond Res. 2022 Jul 18. doi: 10.1519/JSC.0000000000004309. Online ahead of print.","Barker L","J Strength Cond Res","2022","2022/07/19","","","10.1519/JSC.0000000000004309"
"35842655","Effects of maximal-versus submaximal-intent resistance training on functional capacity and strength in community-dwelling older adults: a systematic review and meta-analysis","Pearson LT, Behm DG, Goodall S, Mason R, Stuart S, Barry G.","BMC Sports Sci Med Rehabil. 2022 Jul 16;14(1):129. doi: 10.1186/s13102-022-00526-x.","Pearson LT","BMC Sports Sci Med Rehabil","2022","2022/07/16","PMC9287903","","10.1186/s13102-022-00526-x"
"35911376","Effects of Resistance Training Prior to Total Hip or Knee Replacement on Post-operative Recovery in Functional Performance: A Systematic Review and Meta-Analysis","Jørgensen SL, Kierkegaard S, Bohn MB, Aagaard P, Mechlenburg I.","Front Sports Act Living. 2022 Jul 14;4:924307. doi: 10.3389/fspor.2022.924307. eCollection 2022.","Jørgensen SL","Front Sports Act Living","2022","2022/08/01","PMC9329591","","10.3389/fspor.2022.924307"
"35911374","Acute Neuromuscular and Hormonal Responses to Power, Strength, and Hypertrophic Protocols and Training Background","Kotikangas J, Walker S, Toivonen S, Peltonen H, Häkkinen K.","Front Sports Act Living. 2022 Jul 14;4:919228. doi: 10.3389/fspor.2022.919228. eCollection 2022.","Kotikangas J","Front Sports Act Living","2022","2022/08/01","PMC9329926","","10.3389/fspor.2022.919228"
"35878121","Acute Effect of Upper-Lower Body Super-Set vs. Traditional-Set Configurations on Bar Execution Velocity and Volume","Peña García-Orea G, Rodríguez-Rosell D, Segarra-Carrillo D, Da Silva-Grigoletto ME, Belando-Pedreño N.","Sports (Basel). 2022 Jul 14;10(7):110. doi: 10.3390/sports10070110.","Peña García-Orea G","Sports (Basel)","2022","2022/07/25","PMC9323249","","10.3390/sports10070110"
"35894916","Bilateral Improvements Following Unilateral Home-Based Training in Plantar Flexors: A Potential for Cross-Education in Rehabilitation","Mandal S, Wong LZ, Simmons ND, Mirallais A, Ronca F, Kumar B.","J Sport Rehabil. 2022 Jul 13:1-10. doi: 10.1123/jsr.2021-0383. Online ahead of print.","Mandal S","J Sport Rehabil","2022","2022/07/27","","","10.1123/jsr.2021-0383"
"35886409","Effects of Variable-Resistance Training Versus Constant-Resistance Training on Maximum Strength: A Systematic Review and Meta-Analysis","Lin Y, Xu Y, Hong F, Li J, Ye W, Korivi M.","Int J Environ Res Public Health. 2022 Jul 13;19(14):8559. doi: 10.3390/ijerph19148559.","Lin Y","Int J Environ Res Public Health","2022","2022/07/27","PMC9317775","","10.3390/ijerph19148559"
"35859621","New perspectives for investigating muscular perfusion response after dietary supplement intake: an exploratory, randomized, double-blind, placebo-controlled crossover trial in healthy young athletes using contrast-enhanced ultrasound (CEUS)","Bürkle F, Doll J, Neide A, Gantz S, Tsitlakidis S, Fischer C.","J Int Soc Sports Nutr. 2022 Jul 13;19(1):397-416. doi: 10.1080/15502783.2022.2097018. eCollection 2022.","Bürkle F","J Int Soc Sports Nutr","2022","2022/07/21","PMC9291664","","10.1080/15502783.2022.2097018"
"35903402","Exploring Moderators of the Effect of High vs. Low-to-Moderate Intensity Exercise on Cardiorespiratory Fitness During Breast Cancer Treatment - Analyses of a Subsample From the Phys-Can RCT","Bjørke ACH, Buffart LM, Raastad T, Demmelmaier I, Stenling A, Nordin K, Berntsen S.","Front Sports Act Living. 2022 Jul 12;4:902124. doi: 10.3389/fspor.2022.902124. eCollection 2022.","Bjørke ACH","Front Sports Act Living","2022","2022/07/29","PMC9314879","","10.3389/fspor.2022.902124"
"35886350","Strength Asymmetries Are Muscle-Specific and Metric-Dependent","Boccia G, D'Emanuele S, Brustio PR, Beratto L, Tarperi C, Casale R, Sciarra T, Rainoldi A.","Int J Environ Res Public Health. 2022 Jul 12;19(14):8495. doi: 10.3390/ijerph19148495.","Boccia G","Int J Environ Res Public Health","2022","2022/07/27","PMC9319678","","10.3390/ijerph19148495"
"35889801","Randomised Controlled Trial of Fish Oil Supplementation on Responsiveness to Resistance Exercise Training in Sarcopenic Older Women","da Cruz Alves NM, Pfrimer K, Santos PC, de Freitas EC, Neves T, Pessini RA, Junqueira-Franco MVM, Nogueira-Barbosa MH, Greig CA, Ferriolli E.","Nutrients. 2022 Jul 11;14(14):2844. doi: 10.3390/nu14142844.","da Cruz Alves NM","Nutrients","2022","2022/07/27","PMC9317261","","10.3390/nu14142844"
"35816744","Does nutritional status influence the effects of a multicomponent exercise programme on body composition and physical fitness in older adults with limited physical function?","Moradell A, Fernández-García ÁI, Navarrete-Villanueva D, Pérez-Gómez J, Gesteiro E, Ara Royo I, Casajús JA, Gómez-Cabello A, Vicente-Rodríguez G.","Eur J Sport Sci. 2022 Jul 11:1-10. doi: 10.1080/17461391.2022.2092426. Online ahead of print.","Moradell A","Eur J Sport Sci","2022","2022/07/11","","","10.1080/17461391.2022.2092426"
"35816146","Effects of exercise training on inflammatory and cardiometabolic health markers in overweight and obese adults: a systematic review and meta-analysis of randomized controlled trials","Hejazi K, Wong A.","J Sports Med Phys Fitness. 2022 Jul 11. doi: 10.23736/S0022-4707.22.14103-4. Online ahead of print.","Hejazi K","J Sports Med Phys Fitness","2022","2022/07/11","","","10.23736/S0022-4707.22.14103-4"
"36101416","Effects of Surface-Type Plyometric Training on Physical Fitness in Schoolchildren of Both Sexes: A Randomized Controlled Intervention","Marzouki H, Dridi R, Ouergui I, Selmi O, Mbarki R, Klai R, Bouhlel E, Weiss K, Knechtle B.","Biology (Basel). 2022 Jul 10;11(7):1035. doi: 10.3390/biology11071035.","Marzouki H","Biology (Basel)","2022","2022/09/14","PMC9312845","","10.3390/biology11071035"
"35887748","The Effects of Active Video Game Exercise Based on Self-Determination Theory on Physical Fitness and Cognitive Function in Older Adults","Zhao C, Zhao C, Li Y, Zhao M, Wang L, Guo J, Zhang L, Sun Y, Ye X, Zhu W.","J Clin Med. 2022 Jul 8;11(14):3984. doi: 10.3390/jcm11143984.","Zhao C","J Clin Med","2022","2022/07/27","PMC9321167","","10.3390/jcm11143984"
"35836316","Relationships Between Physical Fitness Assessment Measures and a Workplace Task-Specific Physical Assessment Among Police Officers: A Retrospective Cohort Study","Lockie R, Dawes JJ, Sakura T, Schram B, Orr RM.","J Strength Cond Res. 2022 Jul 8. doi: 10.1519/JSC.0000000000004301. Online ahead of print.","Lockie R","J Strength Cond Res","2022","2022/07/15","","","10.1519/JSC.0000000000004301"
"35886185","An Intelligent Cardiopulmonary Training System and Adherence to Training Intensity: A Feasibility Study","Wei L, Chi JY, Chao JC, Lin YN.","Int J Environ Res Public Health. 2022 Jul 7;19(14):8335. doi: 10.3390/ijerph19148335.","Wei L","Int J Environ Res Public Health","2022","2022/07/27","PMC9320145","","10.3390/ijerph19148335"
"35874517","Nutritional Regulation of Muscle Stem Cells in Exercise and Disease: The Role of Protein and Amino Acid Dietary Supplementation","Beaudry KM, Binet ER, Collao N, De Lisio M.","Front Physiol. 2022 Jul 7;13:915390. doi: 10.3389/fphys.2022.915390. eCollection 2022.","Beaudry KM","Front Physiol","2022","2022/07/25","PMC9301335","","10.3389/fphys.2022.915390"
"35873424","Pea Peptide Supplementation in Conjunction With Resistance Exercise Promotes Gains in Muscle Mass and Strength","Jia S, Wu Q, Wang S, Kan J, Zhang Z, Zhang X, Zhang X, Li J, Xu W, Du J, Wei W.","Front Nutr. 2022 Jul 7;9:878229. doi: 10.3389/fnut.2022.878229. eCollection 2022.","Jia S","Front Nutr","2022","2022/07/25","PMC9302772","","10.3389/fnut.2022.878229"
"35799185","The impact of resistance exercise range of motion on the magnitude of upper-body post-activation performance enhancement","Krzysztofik M, Trybulski R, Trąbka B, Perenc D, Łuszcz K, Zajac A, Alexe DI, Dobrescu T, Moraru CE.","BMC Sports Sci Med Rehabil. 2022 Jul 7;14(1):123. doi: 10.1186/s13102-022-00519-w.","Krzysztofik M","BMC Sports Sci Med Rehabil","2022","2022/07/07","PMC9264649","","10.1186/s13102-022-00519-w"
"35798803","Untargeted lipidomic analysis of plasma from obese women submitted to combined physical exercise","San Martin R, Brandao CFC, Junqueira-Franco MVM, Junqueira GP, de Freitas EC, de Carvalho FG, Rodrigues CHP, Aguesse A, Billon-Crossouard S, Krempf M, Croyal M, Marchini JS.","Sci Rep. 2022 Jul 7;12(1):11541. doi: 10.1038/s41598-022-15236-0.","San Martin R","Sci Rep","2022","2022/07/07","PMC9263166","","10.1038/s41598-022-15236-0"
"35874519","Post-Activation Performance Enhancement: Save Time With Active Intra-Complex Recovery Intervals","Trybulski R, Makar P, Alexe DI, Stanciu S, Piwowar R, Wilk M, Krzysztofik M.","Front Physiol. 2022 Jul 6;13:840722. doi: 10.3389/fphys.2022.840722. eCollection 2022.","Trybulski R","Front Physiol","2022","2022/07/25","PMC9298750","","10.3389/fphys.2022.840722"
"35873410","Effects of Quercetin Glycoside Supplementation Combined With Low-Intensity Resistance Training on Muscle Quantity and Stiffness: A Randomized, Controlled Trial","Otsuka Y, Miyamoto N, Nagai A, Izumo T, Nakai M, Fukuda M, Arimitsu T, Yamada Y, Hashimoto T.","Front Nutr. 2022 Jul 6;9:912217. doi: 10.3389/fnut.2022.912217. eCollection 2022.","Otsuka Y","Front Nutr","2022","2022/07/25","PMC9298516","","10.3389/fnut.2022.912217"
"35847192","Persistent quadriceps muscle atrophy after anterior cruciate ligament reconstruction is associated with alterations in exercise-induced myokine production","Tim-Yun Ong M, Fu SC, Mok SW, Franco-Obregón A, Lok-Sze Yam S, Shu-Hang Yung P.","Asia Pac J Sports Med Arthrosc Rehabil Technol. 2022 Jul 6;29:35-42. doi: 10.1016/j.asmart.2022.05.001. eCollection 2022 Jul.","Tim-Yun Ong M","Asia Pac J Sports Med Arthrosc Rehabil Technol","2022","2022/07/18","PMC9263390","","10.1016/j.asmart.2022.05.001"
"35813843","Acute caffeine supplementation enhances several aspects of shot put performance in trained athletes","Giráldez-Costas V, Aguilar-Navarro M, González-García J, Del Coso J, Salinero JJ.","J Int Soc Sports Nutr. 2022 Jul 6;19(1):366-380. doi: 10.1080/15502783.2022.2096415. eCollection 2022.","Giráldez-Costas V","J Int Soc Sports Nutr","2022","2022/07/11","PMC9261737","","10.1080/15502783.2022.2096415"
"35791498","Sustainability of physical work capacity two years post outpatient cardiac rehabilitation","Mayr B, Egger A, Reich B, Droese S, Niebauer J.","Clin Rehabil. 2022 Jul 5:2692155221111921. doi: 10.1177/02692155221111921. Online ahead of print.","Mayr B","Clin Rehabil","2022","2022/07/06","","","10.1177/02692155221111921"
"35790622","Are Trainees Lifting Heavy Enough? Self-Selected Loads in Resistance Exercise: A Scoping Review and Exploratory Meta-analysis","Steele J, Malleron T, Har-Nir I, Androulakis-Korakakis P, Wolf M, Fisher JP, Halperin I.","Sports Med. 2022 Jul 5. doi: 10.1007/s40279-022-01717-9. Online ahead of print.","Steele J","Sports Med","2022","2022/07/05","","","10.1007/s40279-022-01717-9"
"35873210","Resistance Training Variables for Optimization of Muscle Hypertrophy: An Umbrella Review","Bernárdez-Vázquez R, Raya-González J, Castillo D, Beato M.","Front Sports Act Living. 2022 Jul 4;4:949021. doi: 10.3389/fspor.2022.949021. eCollection 2022.","Bernárdez-Vázquez R","Front Sports Act Living","2022","2022/07/25","PMC9302196","","10.3389/fspor.2022.949021"
"35832853","Research on the Protection of Extensor and Flexor Muscles in the Waist and Back of Competitive Athletes","Yu X, Ma L, He R, Zhao J, Wang S.","Biomed Res Int. 2022 Jul 4;2022:7378953. doi: 10.1155/2022/7378953. eCollection 2022.","Yu X","Biomed Res Int","2022","2022/07/14","PMC9273441","","10.1155/2022/7378953"
"36159160","The Acute Effect of In Natura Beetroot Juice Intake on Intra-Session Exercise Sequences During Concurrent Training","DE Souza DB, Ribeiro JN, Simão ANC, Aguilar-Navarro M, Polito MD.","Int J Exerc Sci. 2022 Jul 1;15(2):1075-1085. eCollection 2022.","DE Souza DB","Int J Exerc Sci","2022","2022/09/26","PMC9458277","",""
"36157335","Manipulating Resistance Training Variables to Induce Muscle Strength and Hypertrophy: A Brief Narrative Review","DE Camargo JBB, Brigatto FA, Zaroni RS, Trindade TB, Germano MD, Junior ACT, DE Oliveira TP, Marchetti PH, Prestes J, Lopes CR.","Int J Exerc Sci. 2022 Jul 1;15(4):910-933. eCollection 2022.","DE Camargo JBB","Int J Exerc Sci","2022","2022/09/26","PMC9458289","",""
"36157334","Utilizing Age-Predicted Heart Rate Maximum to Prescribe a Minimally Invasive Cycle Ergometer HIIT Protocol in Older Adults: A Feasibility Study","Keating CJ, Latorre Román PÁ, Linares JCC, DE LA Casa Pérez A, Parraga-Montilla JA.","Int J Exerc Sci. 2022 Jul 1;15(4):896-909. eCollection 2022.","Keating CJ","Int J Exerc Sci","2022","2022/09/26","PMC9458286","",""
"35916876","Effect of an 11-Week Resistance Training Program on Arterial Stiffness in Young Women","Morgan B, Mirza AM, Gimblet CJ, Ortlip AT, Ancalmo J, Kalita D, Pellinger TK, Walter JM, Werner TJ.","J Strength Cond Res. 2022 Jul 1. doi: 10.1519/JSC.0000000000004280. Online ahead of print.","Morgan B","J Strength Cond Res","2022","2022/08/02","","","10.1519/JSC.0000000000004280"
"35873122","Effects of Addition of Inspiratory Muscle Training to Exercise-Based Cardiac Rehabilitation on Inspiratory Muscle Strength, Peak Oxygen Consumption, and Selected Hemodynamics in Chronic Heart Failure","Ahmad AM, Hassan MH.","Acta Cardiol Sin. 2022 Jul;38(4):485-494. doi: 10.6515/ACS.202207_38(4).20220117A.","Ahmad AM","Acta Cardiol Sin","2022","2022/07/25","PMC9295030","","10.6515/ACS.202207_38(4).20220117A"
"35854646","MRI characterization of skeletal muscle size and fatty infiltration in long-term trained and untrained individuals","Emanuelsson EB, Berry DB, Reitzner SM, Arif M, Mardinoglu A, Gustafsson T, Ward SR, Sundberg CJ, Chapman MA.","Physiol Rep. 2022 Jul;10(14):e15398. doi: 10.14814/phy2.15398.","Emanuelsson EB","Physiol Rep","2022","2022/07/20","PMC9296904","","10.14814/phy2.15398"
"35852047","Resistance exercise with different workloads have distinct effects on cellular respiration of peripheral blood mononuclear cells","Lähteenmäki EI, Koski M, Koskela I, Lehtonen E, Kankaanpää A, Kainulainen H, Walker S, Lehti M.","Physiol Rep. 2022 Jul;10(14):e15394. doi: 10.14814/phy2.15394.","Lähteenmäki EI","Physiol Rep","2022","2022/07/19","PMC9295128","","10.14814/phy2.15394"
"35847939","Resistance Training Attenuates Activation of STAT3 and Muscle Atrophy in Tumor-Bearing Mice","Testa MTJ, Cella PS, Marinello PC, Frajacomo FTT, Padilha CS, Perandini PC, Moura FA, Duarte JA, Cecchini R, Guarnier FA, Deminice R.","Front Oncol. 2022 Jul 1;12:880787. doi: 10.3389/fonc.2022.880787. eCollection 2022.","Testa MTJ","Front Oncol","2022","2022/07/18","PMC9283857","","10.3389/fonc.2022.880787"
"35819352","Caffeine reverts loss of muscular performance during the early-follicular phase in resistance-trained naturally menstruating women","Santana O, Vieira-Cavalcante V, Caetano Paulo A, Rodacki C, Bertuzzi R, Lima-Silva AE, Cristina-Souza G.","J Sports Sci. 2022 Jul;40(14):1592-1601. doi: 10.1080/02640414.2022.2094560. Epub 2022 Jul 12.","Santana O","J Sports Sci","2022","2022/07/12","","","10.1080/02640414.2022.2094560"
"35797431","Community-based exercise enhanced by a self-management programme to promote independent living in older adults: a pragmatic randomised controlled trial","Olsen PØ, Tully MA, Del Pozo Cruz B, Wegner M, Caserotti P.","Age Ageing. 2022 Jul 1;51(7):afac137. doi: 10.1093/ageing/afac137.","Olsen PØ","Age Ageing","2022","2022/07/07","","","10.1093/ageing/afac137"
"35730771","Anaerobic Threshold in Stand-up Paddle: Comparison Between Direct and Alternative Methods","Balikian P, Marinho AH, Gomes de Araujo G, Prado ES, Mendes EV, Ryan Geraldes AA.","J Strength Cond Res. 2022 Jul 1;36(7):1896-1900. doi: 10.1519/JSC.0000000000003718. Epub 2020 Jul 16.","Balikian P","J Strength Cond Res","2022","2022/06/22","","","10.1519/JSC.0000000000003718"
"35730768","Different Cluster-Loading Protocols Have No Effect on Intraset and Interset Power Expression","Dudley CEP, Drinkwater EJ, Feros SA.","J Strength Cond Res. 2022 Jul 1;36(7):1763-1769. doi: 10.1519/JSC.0000000000003725. Epub 2020 Jul 16.","Dudley CEP","J Strength Cond Res","2022","2022/06/22","","","10.1519/JSC.0000000000003725"
"35710226","Detraining period of the PILATES method on functional capacity of elderly women with type 2 diabetes: A randomized clinical trial","Melo KCB, Santos GAD, Araujo FS, Moreira SR.","J Bodyw Mov Ther. 2022 Jul;31:77-83. doi: 10.1016/j.jbmt.2022.03.012. Epub 2022 Mar 19.","Melo KCB","J Bodyw Mov Ther","2022","2022/06/16","","","10.1016/j.jbmt.2022.03.012"
"35704398","Greater neuromuscular fatigue following low-load blood flow restriction than non-blood flow restriction resistance exercise among recreationally active men","Hill EC, Rivera PM, Proppe CE, Gonzalez Rojas DH, Wizenberg AM, Keller JL.","J Neurophysiol. 2022 Jul 1;128(1):73-85. doi: 10.1152/jn.00028.2022. Epub 2022 Jun 15.","Hill EC","J Neurophysiol","2022","2022/06/15","PMC9273273","","10.1152/jn.00028.2022"
"35678743","Insulin-like growth factor-I biocompartmentalization across blood, interstitial fluid and muscle, before and after 3 months of chronic resistance exercise","Sterczala AJ, Pierce JR, Barnes BR, Urso ML, Matheny RW, Scofield DE, Flanagan SD, Maresh CM, Zambraski EJ, Kraemer WJ, Nindl BC.","J Appl Physiol (1985). 2022 Jul 1;133(1):170-182. doi: 10.1152/japplphysiol.00592.2021. Epub 2022 Jun 9.","Sterczala AJ","J Appl Physiol (1985)","2022","2022/06/09","PMC9291428","","10.1152/japplphysiol.00592.2021"
"35676190","A systematic review of supervised comprehensive functional physiotherapy after radical prostatectomy","Steenstrup B, Cartier M, Nouhaud FX, Kerdelhue G, Gilliaux M.","Prog Urol. 2022 Jul;32(7):525-539. doi: 10.1016/j.purol.2022.04.008. Epub 2022 Jun 5.","Steenstrup B","Prog Urol","2022","2022/06/08","","","10.1016/j.purol.2022.04.008"
"35649253","Human skeletal muscle acetylcholine receptor gene expression in elderly males performing heavy resistance exercise","Soendenbroe C, Heisterberg MF, Schjerling P, Kjaer M, Andersen JL, Mackey AL.","Am J Physiol Cell Physiol. 2022 Jul 1;323(1):C159-C169. doi: 10.1152/ajpcell.00365.2021. Epub 2022 Jun 1.","Soendenbroe C","Am J Physiol Cell Physiol","2022","2022/06/01","","","10.1152/ajpcell.00365.2021"
"35561473","The effects of resistance exercise on obstructive sleep apnea severity and body water content in older adults: A randomized controlled trial","da Silva RP, Martinez D, Uribe Ramos JM, Martins EF, Tedesco-Silva LM, Lopez P, Cadore EL.","Sleep Med. 2022 Jul;95:37-46. doi: 10.1016/j.sleep.2022.04.014. Epub 2022 Apr 22.","da Silva RP","Sleep Med","2022","2022/05/13","","","10.1016/j.sleep.2022.04.014"
"35551112","Muscle Fatigue Is Attenuated When Applying Intermittent Compared With Continuous Blood Flow Restriction During Endurance Cycling","Corvino RB, Scheffer DDL, Penteado Dos Santos R, Latini A, Oliveira AS, Caputo F.","Int J Sports Physiol Perform. 2022 May 12;17(7):1126-1131. doi: 10.1123/ijspp.2021-0523. Print 2022 Jul 1.","Corvino RB","Int J Sports Physiol Perform","2022","2022/05/13","","","10.1123/ijspp.2021-0523"
"35523423","Effects of Weight Cutting on Exercise Performance in Combat Athletes: A Meta-Analysis","Brechney GC, Cannon J, Goodman SP.","Int J Sports Physiol Perform. 2022 May 6;17(7):995-1010. doi: 10.1123/ijspp.2021-0104. Print 2022 Jul 1.","Brechney GC","Int J Sports Physiol Perform","2022","2022/05/06","","","10.1123/ijspp.2021-0104"
"35510889","Effects of a Short-Term Heat Acclimation Protocol in Elite Amateur Boxers","Stone BL, Ashley JD, Skinner RM, Polanco JP, Walters MT, Schilling BK, Kellawan JM.","J Strength Cond Res. 2022 Jul 1;36(7):1966-1971. doi: 10.1519/JSC.0000000000004233. Epub 2022 May 2.","Stone BL","J Strength Cond Res","2022","2022/05/05","","","10.1519/JSC.0000000000004233"
"35500751","Transient speeding of V̇O(2) kinetics following acute sessions of sprint interval training: Similar exercise dose but different outcomes in older and young adults","Iannetta D, Inglis EC, Maturana FM, Spigolon G, Pogliaghi S, Murias JM.","Exp Gerontol. 2022 Jul;164:111826. doi: 10.1016/j.exger.2022.111826. Epub 2022 Apr 30.","Iannetta D","Exp Gerontol","2022","2022/05/02","","","10.1016/j.exger.2022.111826"
"35473778","Effect of Ground-Based Walk Training in Pulmonary Hypertension","Ertan O, Aslan GK, Akinci B, Bilge AK, Inanc M, Okumus G.","Am J Cardiol. 2022 Jul 1;174:172-178. doi: 10.1016/j.amjcard.2022.03.040. Epub 2022 Apr 23.","Ertan O","Am J Cardiol","2022","2022/04/27","","","10.1016/j.amjcard.2022.03.040"
"35446282","Effects of Complex Vs. Compound Training on Competitive Throwing Performance","Kyriazis T, Methenitis S, Zaras N, Stasinaki AN, Karampatsos G, Georgiadis G, Terzis G.","J Strength Cond Res. 2022 Jul 1;36(7):1866-1874. doi: 10.1519/JSC.0000000000004264. Epub 2022 Apr 21.","Kyriazis T","J Strength Cond Res","2022","2022/04/21","","","10.1519/JSC.0000000000004264"
"35438424","Maximal strength training in patients with inflammatory rheumatic disease: implications for physical function and quality of life","Haglo H, Berg OK, Hoff J, Helgerud J, Wang E.","Eur J Appl Physiol. 2022 Jul;122(7):1671-1681. doi: 10.1007/s00421-022-04948-w. Epub 2022 Apr 19.","Haglo H","Eur J Appl Physiol","2022","2022/04/19","PMC9197881","","10.1007/s00421-022-04948-w"
"35429294","Fast and ballistic contractions involve greater neuromuscular power production in older adults during resistance exercise","Mc Dermott EJ, Balshaw TG, Brooke-Wavell K, Maden-Wilkinson TM, Folland JP.","Eur J Appl Physiol. 2022 Jul;122(7):1639-1655. doi: 10.1007/s00421-022-04947-x. Epub 2022 Apr 16.","Mc Dermott EJ","Eur J Appl Physiol","2022","2022/04/16","PMC9197913","","10.1007/s00421-022-04947-x"
"35429293","Effect of watermelon supplementation on exercise performance, muscle oxygenation, and vessel diameter in resistance-trained men","Gonzalez AM, Pinzone AG, Lipes SE, Mangine GT, Townsend JR, Allerton TD, Sell KM, Ghigiarelli JJ.","Eur J Appl Physiol. 2022 Jul;122(7):1627-1638. doi: 10.1007/s00421-022-04940-4. Epub 2022 Apr 16.","Gonzalez AM","Eur J Appl Physiol","2022","2022/04/16","","","10.1007/s00421-022-04940-4"
"35418511","Acute Effects of Concurrent High-Intensity Interval Cycling and Bench-Press Loading on Upper- and Lower-Body Explosive Strength Performance","Dragutinovic B, Feuerbacher JF, Jacobs MW, Bloch W, Schumann M.","Int J Sports Physiol Perform. 2022 Apr 13;17(7):1077-1084. doi: 10.1123/ijspp.2021-0571. Print 2022 Jul 1.","Dragutinovic B","Int J Sports Physiol Perform","2022","2022/04/14","","","10.1123/ijspp.2021-0571"
"35403756","Effects of specific collagen peptide supplementation combined with resistance training on Achilles tendon properties","Jerger S, Centner C, Lauber B, Seynnes O, Sohnius T, Jendricke P, Oesser S, Gollhofer A, König D.","Scand J Med Sci Sports. 2022 Jul;32(7):1131-1141. doi: 10.1111/sms.14164. Epub 2022 Apr 20.","Jerger S","Scand J Med Sci Sports","2022","2022/04/11","","","10.1111/sms.14164"
"35390575","Minimal important difference of two methods for assessment of quadriceps femoris strength post exercise program in individuals with COPD","Santin L, Fonseca J, Hirata RP, Hernandes NA, Pitta F.","Heart Lung. 2022 Jul-Aug;54:56-60. doi: 10.1016/j.hrtlng.2022.03.008. Epub 2022 Apr 4.","Santin L","Heart Lung","2022","2022/04/07","","","10.1016/j.hrtlng.2022.03.008"
