Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Ausdauertraining und sanftes Krafttraining nach dem subjektiven Belastungsempfinden.","Friedrich, Wolfgang","Sportunterricht",="03422402",,="20060101","55","1","7","5","SPHS-1011933",,,"Article","ENDURANCE sports -- Training; PHYSICAL training & conditioning; EXERCISE -- Physiological aspects; HEART beat; STRESS (Physiology); PHYSICAL fitness; EXERCISE tests; PHYSICAL education & training",,"Exercise for both endurance and strength are well regarded in physical education. The intensity of the en-durance exercise is usually calculated by the heart beat formula. Similarly the load to be moved within strength exercise is normally calculated in relation to maximal strength. Both fitness abilities may be improved using the method of the subjective perception of stress. Within physical education this method is especially adequate to set an intensity level in running swimming or strength training. The method can be easily applied by the students and it improves their awareness of their own perception of stress. [ABSTRACT FROM AUTHOR]","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPHS-1011933&site=ehost-live"
"Auswirkungen eines Kraftausdauertrainings in normobarer Hypoxie auf Muskelquerschnitt, Kraftausdauer und Maximalkraft. (Abstract)","Friedmann, B.; Borisch, S.; Kucera, K.; Mueller, H.; Erb, G.; Richter, G.; Baertsch, P.","Deutsche Zeitschrift fuer Sportmedizin",="03445925",,="20010801","52","7/8","S36","1","SPHS-940389",,,"Article","PHYSICAL education & training; MUSCLE strength; PHYSICAL fitness; PHYSICAL training & conditioning; ANOXEMIA; THIGH; QUADRICEPS muscle; MUSCLES; CLINICAL trials",,,"https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPHS-940389&site=ehost-live"
"Automated cross-sectional analysis of trained, severely atrophied, and recovering rat skeletal muscles using MyoVision 2.0.","Viggars, Mark R.; Yuan Wen; Peterson, Charlotte A.; Jarvis, Jonathan C.","Journal of Applied Physiology",="87507587",,="20220301","132","3","593","18","156173014",,,"Article","SKELETAL muscle; RESISTANCE training; TIBIALIS anterior; CROSS-sectional method; ATROPHY",,"The number of myonuclei within a muscle fiber is an important factor in muscle growth, but its regulation during muscle adaptation is not well understood. We aimed to elucidate the time course of myonuclear dynamics during endurance training, loaded and concentric resistance training, and nerve silencing-induced disuse atrophy with subsequent recovery. We modified tibialis anterior muscle activity in free-living rats with electrical stimulation from implantable pulse generators, or with implantable osmotic pumps delivering tetrodotoxin (TTX) to silence the motor nerve without transection. We used the updated, automated software MyoVision to measure fiber-type-specific responses in whole tibialis anterior cross sections (~8,000 fibers each). Seven days of continuous low-frequency stimulation (CLFS) reduced muscle mass (-12%), increased slower myosin isoforms and reduced IIX/IIB fibers (-32%), and substantially increased myonuclei especially in IIX/IIB fibers (55.5%). High-load resistance training (spillover) produced greater hypertrophy (~16%) in muscle mass and fiber cross-sectional area (CSA) than low-load resistance training (concentric, ~6%) and was associated with myonuclear addition in all fiber types (35%-46%). TTX-induced nerve silencing resulted in progressive loss in muscle mass, fiber CSA, and myonuclei per fiber cross section (-50.7%, -53.7%, and -40.7%, respectively, at 14 days). Myonuclear loss occurred in a fiber-type-independent manner, but subsequent recovery during voluntary habitual activity suggested that type IIX/IIB fibers contained more new myonuclei during recovery from severe atrophy. This study demonstrates the power and accuracy provided by the updated MyoVision software and introduces new models for studying myonuclear dynamics in training, detraining, retraining, repeated disuse, and recovery. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=156173014&site=ehost-live"
"Autonomic modulation analysis in active and sedentary kidney transplanted recipients.","Moraes Dias, Carlos José; Anaisse Azoubel, Luana Monteiro; Araújo Costa, Herikson; Costa Maia, Ednei; Rodrigues, Bruno; Silva‐Filho, Antonio Carlos; Dias‐Filho, Carlos Alberto Alves; Claúdia Irigoyen, Maria; Leite, Richard D; Oliveira Junior, Mário Sevilio; Mostarda, Cristiano Teixeira","Clinical & Experimental Pharmacology & Physiology",="03051870",,="20151201","42","12","1239","6","111359175",,,"Article","TRANSPLANTATION of organs, tissues, etc.; HEART beat; CHRONIC kidney failure; KIDNEY transplantation; BIOCHEMICAL variation",,"Modulation of the autonomic nervous system on heart rate can be compromised in chronic kidney disease and may result in changes in the frequency and duration of the cardiac cycle. The aim of this study was to evaluate autonomic modulation in active and sedentary renal transplant recipients. Twenty renal-transplanted individuals were analyzed at the Centro de Prevenção de Doenças Renais (Kidney Disease Education Centre), in the academic hospital of Universidade Federal do Maranhão, and were divided into the active group (AG) and the sedentary group (SG). The AG comprised of six men and four women (age 43.10 ± 13.02) and was in regular concurrent training intervention for 8 weeks, while the SG was composed of three men and seven women (age 36.8 ± 9.26). Analysis of heart rate (HR) variability in time and frequency domain demonstrated that HR mean values in the SG and AG were 787.32 ± 79.60 and 870 ± 106.66 ms, respectively. Differences were observed in the time domain and frequency domain. The total index of low frequency and high frequency showed no differences between the SG and AG. Biochemical variables presented significantly lower levels after 8 weeks of training. Higher heart rate variability in the time domain and greater vagal modulation was observed in the AG. The AG ad greater vagal modulation when compared to the SG, with removal of the sympathetic and increased parasympathetic in the behaviour was confirmed by sympatho-vagal balance. The AG also presented significant improvements in the frequency domain. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=111359175&site=ehost-live"
"Balance and walking performance are improved after resistance and aerobic training in persons with chronic stroke.","Lund, Caroline; Dalgas, Ulrik; Grønborg, Therese Koops; Andersen, Henning; Severinsen, Kåre; Riemenschneider, Morten; Overgaard, Kristian","Disability & Rehabilitation",="09638288",,="20181001","40","20","2408","8","131395256",,,"Article","STROKE treatment; ISOMETRIC exercise; AEROBIC exercises; ARM; CHRONIC diseases; DIAGNOSIS; POSTURAL balance; GAIT in humans; MEDICAL care; PATIENTS; ERGOMETRY; RESISTANCE training; STATISTICAL correlation; FISHER exact test; OXYGEN; RESEARCH funding; RANDOMIZED controlled trials; CONTROL groups; DATA analysis software; DESCRIPTIVE statistics; KRUSKAL-Wallis Test",,"Purpose: To investigate the effect of different types of physical training on balance performance and whether improved balance correlates with improved walking performance. Methods: Forty eight participants with chronic stroke were randomly assigned to aerobic training on cycle ergometer (AT-group), resistance training of the lower extremities (RT-group), or sham training of upper extremities (ST-group). Participants exercised 3 d/week for 12 weeks. Balance (Berg Balance Scale), peak oxygen uptake rate, isometric knee extensor strength, maximal gait speed, and 6 minute walk test were measured at baseline and after 12 weeks. Results: Training specific effects were observed; the AT-group improved peak oxygen uptake rate by 15.5 (6.0-25.0)%, the RT-group improved non-paretic knee extensor strength by 35.1 (18.3-51.9)% and the ST-group improved non-paretic knee extensor strength by 8.9 (0.7-17.1)%. All groups improved balance (6.0 (95% CI: 3.2-8.8)%), maximal gait speed (10.2 (6.5-14.0)%), and 6 minute walk distance (12.4 (8.8-15.9)%) but balance improvements did not correlate with improvements in muscle strength, peak oxygen uptake rate, or walking. Conclusions: Physical exercise improves balance and walking performance, but improved balance is not a prerequisite for functional improvements in chronic stroke. Implications for Rehabilitation: Aerobic training and progressive resistance training show small significant improvements in balance and walking, indicating a possible clinical relevance of these training modalities. Improvements in balance may not be a prerequisite for improvements in walking distance when assistive devices are allowed during walking tests. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=131395256&site=ehost-live"
"Basic concepts about genes, inactivity and aging.","Booth, F. W.; Zwetsloot, K. A.","Scandinavian Journal of Medicine & Science in Sports",="09057188",,="20100201","20","1","1","4","47657277",,,"Article","MUSCLE strength; PHYSICAL fitness & genetics; EXERCISE physiology; PHYSICAL fitness & nutrition; OLDER people physiology; HEALTH of older people; SPORTS medicine; AGING prevention",,"Remarkably, 80-year-old humans who have partaken in lifelong aerobic or strength training have maximal aerobic capacities or muscle strengths comparable with that of sedentary individuals aged 50 or 55-year-old, respectively. Such delays in functional aging are clinically significant because lower aerobic and lower strength capacities increase the risk of premature death. In this short review, we speculate that the lack of daily physical activity induces evolutionarily selected mechanisms to use or lose, one of which is related to nutritional status. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=47657277&site=ehost-live"
"Benefits of a University Karate Class on Markers of Fitness.","Anderson, D E","Journal of Strength & Conditioning Research",="10648011",,="20110302","25",,"S85","1","113578786",,,"Abstract",,,"Many physiological benefits have been attributed to martial arts training including increased strength, anaerobic capacity, balance, flexibility, aerobic power and lower body fat. The majority of the research studies done on this topic have been of a cross-sectional design. PURPOSE: To measure physiological benefits of a university karate class. METHODS: Ten healthy women (age 20.8 ± 0.6 y, body weight 58.9 ± 2.4 kg, and height 163.8 ± 2.2 cm) with no previous martial arts experience volunteered to participate in the project. Class sessions met twice per week for 50 minutes each session. In each class 7-10 minutes were devoted to warm-up/stretching activities, 15-20 minutes to karate fundamentals, 10-15 minutes to kata or forms, and 5-10 minutes of self defense activities. Testing was done the first week of the class and during the last week of the 8 week course. Subjects were assessed for body composition (via Bod Pod), flexibility (modified sit-and-reach test), handgrip strength, and aerobic capacity (graded exercise treadmill test). RESULTS: No significant differences due to the training were found for weight or body composition. Subjects demonstrated higher, although not significantly so, values for handgrip strength post training. Mean flexibility was significantly greater (25.5 ± 3.3 cm vs 28.4 ± 3.2 cm) after karate training. Aerobic capacity was significantly higher (34.4 ± 1.8 ml/kg/min vs 36.5 ± 1.7 ml/kg/min) after training. CONCLUSION: An eight week university karate class resulted in no change in weight, body composition nor handgrip strength in a group of women. A significant increase in trunk flexibility and aerobic capacity was seen for the subjects, however. PRACTICAL APPLICATIONS: Eight weeks may not be adequate time to demonstrate the impact of karate training on certain markers of fitness. Handgrip strength was improved in the group, however not enough to demonstrate statistical significance. This type of training was beneficial in increasing both trunk flexibility and aerobic capacity. A longer duration study may allow for greater evidence of the full benefits of karate training. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=113578786&site=ehost-live"
"Benefits of exercise and immunotherapy in a murine model of human non-small-cell lung carcinoma.","Martín-Ruiz, Asunción; Fiuza-Luces, Carmen; Rincón-Castanedo, Cecilia; Fernández-Moreno, David; Gálvez, Beatriz G.; Martínez-Martínez, Esther; Martín-Acosta, Paloma; Coronado, Maria José; Franco-Luzón, Lidia; González-Murillo, África; Ramírez, Manuel; Provencio, Mariano; Lucia, Alejandro","Exercise Immunology Review",="10775552",,="20200101","26",,"58","16","149897759",,,"Article","APOPTOSIS; STRENGTH training; NON-small-cell lung carcinoma; ADJUVANT treatment of cancer; IMMUNOTHERAPY",,"Background: Lung cancer has the highest incidence and mortality rate in the world. One of the most promising new cancer therapies in recent years is immunotherapy, which is based on the blockade of immune checkpoints such as programmed cell death protein 1 (PD-1). Exercise training is beneficial to maintain and improve the quality of life of cancer patients, and it might also modulate the anti-tumoral efficiency of some chemotherapeutic agents. However, the potential of exercise combined with immunotherapy as a cancer therapy remains to be elucidated. Here, we examined the effects of exercise on tumor growth and its possible adjuvant effects when combined with anti-PD-1 immunotherapy (nivolumab) in a patient-derived xenograft (PDX) model of non-small-cell lung carcinoma (NSCLC). Methods: We generated a PDX model using NOD-SCID gamma mice with subcutaneous grafts from tumor tissue of a patient with NSCLC. Animals were randomly assigned to one of four groups: non-exercise + isotype control (n=5), exercise + isotype control (n=5), non-exercise + nivolumab (n=6) or exercise + nivolumab (n=6). The animals undertook an 8-week moderate-intensity training regimen (treadmill aerobic exercise and strength training). Immunotherapy (nivolumab) or an isotype control was administered 2 days/week, for 6 weeks. Several tumor growth and microenvironment parameters were measured after the intervention. Results: Improvements in aerobic capacity and muscle strength (p=0.027 andp=0.005) were noted in exercised animals. Exercise alone reduced the tumor growth rate with respect to non-exercised mice (p=0.050). The double intervention (exercise + nivolumab) increased tumor necrosis and reduced apoptosis with respect to controls (p=0.026; p=0.030). All interventions achieved a reduction in proliferation compared with the control group (p=0.015, p=0.011, and p=0.011). Exercise alone increased myeloid tumor infiltrates (mostly neutrophils) with respect to the nivolumab only group (p=0.018). Finally, Vegf-a expression was higher in the nivolumab groups (in combination or not with exercise) than in exercise + isotype control group (p=0.045 and p=0.047, respectively). No other significant effects were found. Conclusions: Our results would suggest that aerobic and strength training should be studied as an adjuvant to cancer immunotherapy treatment. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=149897759&site=ehost-live"
"Benefits of Intrahospital Exercise Training after Pediatric Bone Marrow Transplantation.","San Juan, A. F.; Chamorro-viña, C.; Moral, S.; del Valle, M. Fernández; Madero, L.; Ramirez, M.; Perez, M.; Lucia, A.","International Journal of Sports Medicine",="01724622",,="20080501","29","5","439","8","32522636",,,"Article","ISOMETRIC exercise; QUALITY of life; EXERCISE; CHILDREN; BONE marrow transplantation; CHILDHOOD cancer",,"The purpose of this study was to determine if an eight-week intrahospital supervised, conditioning program improves functional capacity and quality of life (QOL) in children (4 boys, 4 girls) (mean [SD] age: 10.9 [2.8] years [range: 8-16]) who have undergone bone marrow transplantation (BMT) for leukemia treatment within the last 12 months. A group of 8 age and gender-matched healthy children served as controls. The experimental group performed 3 weekly sessions of resistance and aerobic training inside an intra-hospital gymnasium. A significant combined effect of group and time (p <0.05) was observed for muscle functional capacity (Timed Up and Down Stairs [TUDS] test) and peak oxygen uptake (VO2peak), i.e., with BMT children showing greater improvements than controls (VO2peak at pre- and post-training of 25.9 (8.2) and 31.1 (7.6) mL/kg/min in diseased children). Muscle strength (6 RM test for bench and leg press and seated row) also improved after training (p<0.05) in the BMT group. Concerning QOL, a significant combined effect of group and time (p <0.05) was also observed for children's self-report of comfort and resilience and for parents' report of their children's satisfaction and achievement. In summary, children who have received BMT experience physical and overall health benefits after a relatively short-term (8 weeks) supervised exercise training program. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=32522636&site=ehost-live"
"Benefits of Power Training for the Elderly Population.","Green, Bryan J.; Mang, Zachary; Ducharme, Jeremy; Kravitz, Len","ACSM's Health & Fitness Journal",="10915397",,="20221101","29","6","12","6","159823203",,,"Article","RESISTANCE training; ENDURANCE sports training; NEUROMUSCULAR diseases; PHYSICAL fitness; FUNCTIONAL training; PLYOMETRICS; HIGH-intensity interval training; EXERCISE equipment; SARCOPENIA; CONTINUING education units; OLD age",,"Apply It!: By reading this article, fitness professionals will learn: • Aging is associated with loss of muscle, strength, and power, and fitness professionals are encouraged to apply the entire force-velocity curve when prescribing power training for their elderly clients. • Health and fitness professionals may use machines such as the leg press and chest press and have their elderly clients perform high-velocity contractions using intensities such as 20%, 50%, and 80% of their one-repetition maximum to enhance muscular power. • When sufficient levels of strength, power, and balance have been achieved, health and fitness professionals can prescribe plyometric exercises such as jumps, bounds, and medicine ball throws, which may be perceived as a more interesting way to develop power for older adults. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=159823203&site=ehost-live"
"Beta-alanine supplementation improves aerobic and anaerobic indices of performance.","Wilson JM; Wilson GJ; Zourdos MC; Smith AE; Stout JR","Strength & Conditioning Journal",="15241602",,="20100201","32","1","71","8","105312508",,,"Journal Article",,,"Beta-alanine supplementation has been found to increase intramuscular carnosine, strength, power, volume per training session and a host of other indices of aerobic and anaerobic capacity. However, there is a need to synthesize this research so that the athlete and strength coach alike can optimally benefit from beta-alanine supplementation. The purpose of this review is to provide an analysis of studies conducted on beta-alanine. The review will cover the optimal dosage of beta-alanine; its use in resistance training, intermittent, and endurance-based exercises; and when combined with creatine in trained and untrained individuals. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=105312508&site=ehost-live"
"Beyond genes -- maximising strength and endurance.","Baar, Keith","Peak Performance",="09620184",,="20080801",,"263","8","4","33536999",,,"Article","ADENOSINE monophosphate; PROTEIN kinases; GENES; HEREDITY; RAPAMYCIN",,"The article looks at the roles of human genes and adenosine monophosphate-activated protein kinase (AMPK) and mammalian target of rapamycin complex 1 (mTORC1) in building muscular strength and endurance. The importance of concurrent training effect' and how it is achieved is explained in detail. Also discussed are the reason why amino acid must not be sustained at high quantities for a long time, tips on how to maximize endurance and strength by timing of the exercise.","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=33536999&site=ehost-live"
"Biological Background of Block Periodized Endurance Training: A Review.","Issurin, Vladimir B.","Sports Medicine",="01121642",,="20190101","49","1","31","9","134343309",,,"Article","ATHLETIC ability; EXERCISE physiology; EXERCISE therapy; HOMEOSTASIS; MUSCLE strength; PHYSICAL fitness; STRESS management; PHYSICAL training & conditioning; OXYGEN consumption; EXERCISE intensity; HIGH-intensity interval training; HORMONE metabolism; MOLECULAR biology",,"Block periodized (BP) training is an innovative and prospective approach that is drawing increasing attention from coaching scientists and practitioners. However, its further dissemination and implementation demands serious scientific biological underpinnings. More specifically, the fundamental scientific concepts of homeostatic regulation, stress adaptation and the law of supercompensation determine the biological essence and content of appropriate block mesocycles, i.e., the accumulation, transmutation and realization cycles, respectively. Such a separation is intended to prevent conflicting physiological responses and provide a favorable interaction for training effects. Several studies have evaluated the metabolic effects of various training programs, and the superiority of the BP model has been confirmed in terms of significant gains of maximal oxygen uptake, maximal power output and positive trends in athletic performance. It was found that the endocrine status of athletes is strictly dependent on appropriate blocks such as voluminous extensive workloads combined with resistance training (accumulation), lower-volume intense training (transmutation), and event-specific precompetitive training (realization). Evidence from molecular biology indicates the major regulators that determine meaningful adaptive events within specific block mesocycles. Specifically, voluminous extensive accumulation blocks stimulate mitochondrial biogenesis and protein synthesis in slow-twitch muscle fibres, whereas lower-volume intense workloads of the transmutation blocks evoke adaptive modifications in fast-twitch glycolytic and oxidative-glycolytic muscle fibers. Furthermore, such a training program causes a remarkable elevation of myonuclear content in muscle fibers that enables athletes to regain previously acquired abilities. The precompetitive realization block produces accentuated expression of stress-related and myogenic genes that affect protein synthesis and increase muscle glycogen. In addition, such a program stimulates and increases the size, force and power of fast-twitch fibers. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=134343309&site=ehost-live"
"Biological mechanisms of athletes' aerobic and anaerobic capacity's enhensing.","Kolchinskaya, A.Z.","Teoria i Praktika Fiziceskoj Kul'tury",="00403601",,="19980101",,"3","2","6","SPH463539",,,"Article","PHYSICAL training & conditioning; ELITE athletes; SPORTS; TRAINING; ANOXEMIA; THEORY",,"The purpose of this paper was to describe the biological mechanisms of the athletes' aerobic and anaerobic output's enhensing basing on the author's researches results. The development of functional system of respiration in the process of adaptation to load hypoxia, accompanying muscular activities, and in the process of adaptation to the air with the low partial oxygen pressure in mountains, in decompression chamber and in the conditions of normobaric noncontinuous and interval hypoxic training is described. The genesis of these two types of hypoxia states, the similarities and the distinguishes of the biological mechanisms, load hypoxia's and hypoxia hypoxia's compensations are considered. The results of using the combined training method, consisting of the interval hypoxic training together with the planned sports training, prove its efficiency in elite sport.","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPH463539&site=ehost-live"
"Block periodization of strength and endurance training is superior to traditional periodization in ice hockey players.","Rønnestad, Bent R.; Øfsteng, Sjur J.; Ellefsen, Stian","Scandinavian Journal of Medicine & Science in Sports",="09057188",,="20190201","29","2","180","9","134148902",,,"Article","KNEE physiology; ATHLETES; CARDIAC output; CYCLING; HOCKEY; RANGE of motion of joints; SPRINTING; MUSCLE strength; TORQUE; OXYGEN consumption; EFFECT sizes (Statistics); RANDOMIZED controlled trials",,"Team sports like ice hockey require high levels of performance in numerous physical characteristics such as strength, power, and endurance. As such, training is associated with a potential interference effect. The present study randomized well‐trained ice hockey players into a block periodization group (BP; n = 8), focusing on the development of either strength and power or endurance on a weekly, undulating basis, and a traditional group (TRAD; n = 8), performing a mixed training model, with simultaneous focus of strength, power, and endurance training every week. During the 6‐week intervention, the two groups performed equal volumes and intensities of both strength, power, and endurance training. BP led to larger improvements than TRAD in knee extension peak torque at 180° s−1 (6.6 ± 8.7 vs −4.2% ± 6.3%, respectively; P < 0.05) and maximal oxygen uptake (5.1 ± 3.3 vs 1.1% ± 3.5%, respectively; P < 0.05). There was also a trend toward larger improvements in BP than TRAD in peak torque in knee extension at 60° s−1 (2.1 ± 2.5 vs −0.1% ± 2.5%, respectively; P < 0.1, effect size = 0.83) and mean power output during a 30‐s cycling sprint (4.1 ± 2.5 vs −0.3% ± 5.9%, respectively; P < 0.1, effect size = 0.89). Overall, BP exhibited a moderate to large effect size for all these variables compared to TRAD. The present study suggests that block periodization of strength and endurance training induces superior adaptations in both strength and endurance capacities in well‐trained ice hockey players compared to traditional mixed organization, despite similar training volume and intensity. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=134148902&site=ehost-live"
"Block training periodization in alpine skiing: effects of 11-day HIT on VO2max and performance.","Breil, Fabio A.; Weber, Simone N.; Koller, Stefan; Hoppeler, Hans; Vogt, Michael","European Journal of Applied Physiology",="14396319",,="20100801","109","6","1077","10","52369789",,,"journal article","DOWNHILL skiing; JUMPING; PERIODIZATION training; EXERCISE; SKIING; PHYSICAL fitness; OXYGEN consumption; BIOLOGICAL adaptation; OXYGEN; OXYGEN metabolism; COMPARATIVE studies; RESEARCH methodology; MEDICAL cooperation; RESEARCH; TASK performance; EVALUATION research",,"Attempting to achieve the high diversity of training goals in modern competitive alpine skiing simultaneously can be difficult and may lead to compromised overall adaptation. Therefore, we investigated the effect of block training periodization on maximal oxygen consumption (VO2max) and parameters of exercise performance in elite junior alpine skiers. Six female and 15 male athletes were assigned to high-intensity interval (IT, N = 13) or control training groups (CT, N = 8). IT performed 15 high-intensity aerobic interval (HIT) sessions in 11 days. Sessions were 4 x 4 min at 90-95% of maximal heart rate separated by 3-min recovery periods. CT continued their conventionally mixed training, containing endurance and strength sessions. Before and 7 days after training, subjects performed a ramp incremental test followed by a high-intensity time-to-exhaustion (tlim) test both on a cycle ergometer, a 90-s high-box jump test as well as countermovement (CMJ) and squat jumps (SJ) on a force plate. IT significantly improved relative VO2max by 6.0% (P < 0.01; male +7.5%, female +2.1%), relative peak power output by 5.5% (P < 0.01) and power output at ventilatory threshold 2 by 9.6% (P < 0.01). No changes occurred for these measures in CT. tlim remained unchanged in both groups. High-box jump performance was significantly improved in males of IT only (4.9%, P < 0.05). Jump peak power (CMJ -4.8%, SJ -4.1%; P < 0.01), but not height decreased in IT only. For competitive alpine skiers, block periodization of HIT offers a promising way to efficiently improve VO2max and performance. Compromised explosive jump performance might be associated with persisting muscle fatigue. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=52369789&site=ehost-live"
"Blood flow restriction does not augment low force contractions taken to or near task failure.","Buckner, Samuel L.; Jessee, Matthew B.; Dankel, Scott J.; Mattocks, Kevin T.; Mouser, J. Grant; Bell, Zachary W.; Abe, Takashi; Bentley, John P.; Loenneke, Jeremy P.","European Journal of Sport Science",="17461391",,="20200601","20","5","650","10","145497811",,,"Article","ISOMETRIC exercise; BLOOD circulation; ENDURANCE sports; ENDURANCE sports training; EXERCISE physiology; ISOKINETIC exercise; MUSCLE strength; MUSCULOSKELETAL system physiology; TORQUE; COMPARATIVE studies; CONFIDENCE intervals; EMPLOYEES' workload; DESCRIPTIVE statistics",,"Low-load exercise performed to or near task failure appears to result in similar skeletal muscle adaptations as low-load exercise with the addition of blood flow restriction (BFR). However, there may be a point where the training load becomes too low to stimulate an anabolic response without BFR. This study examined skeletal muscle adaptions to very low-load resistance exercise with and without BFR. Changes in muscle thickness (MTH), strength, and endurance were examined following 8-weeks of training with a traditional high-load [70% 1RM,(7000)], low-load [15% 1RM,(1500)], low-load with moderate BFR [15%1RM + 40%BFR(1540)], or low-load with greater BFR [15% 1RM + 80%BFR(1580)]. 1RM strength changes were greater in the 7000 condition [2.09 (95% CI = 1.35–2.83) kg] compared to all low-load conditions. For isometric and isokinetic strength, there were no changes. For endurance, there was a main effect for time [mean pre to post change = 7.9 (4.3–11.6) repetitions]. At the 50% site, the mean change in MTH in the 7000 condition [0.16 (0.10–0.22) cm] was greater than all low-load conditions. For the 60% site, the mean change in MTH [0.15 (0.08–0.22)] was greater than all low-load conditions. For the 70% site there was a main effect for time [mean pre to post change = 0.09 (0.05–0.14 cm]. All groups increased muscle size; however, this response was less in all very low training conditions compared to high-load training. 1RM strength increased in the 7000 condition only, with no other changes in strength observed. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=145497811&site=ehost-live"
"Blood Pressure and Cardiovascular Health Has Relationship with Age in Adults During Adulthood.","GETTY, ALLYSON K.; LENZO, JESSICA M.; WISDO, TIA R.; OAKMAN, JOYANN E.; CROMWELL, CHRISTINA M.; HILL, JESSICA A.; CHAVIS, LAUREN N.; FEAIRHELLER, DEBORAH L.","International Journal of Exercise Science",="1939795X",,="20170901","10","5","798","9","124925934",,,"Article","BLOOD pressure; CARDIOVASCULAR system; CARDIOVASCULAR diseases risk factors; BODY mass index; HEALTH of adults; CARDIOVASCULAR disease prevention",,"Efforts to combat cardiovascular disease (CVD) have proven effective, especially in the population aged 55-74 years. However, less research has been conducted in younger populations to determine at what age CVD risk develops. The purpose of this study is to compare cardiovascular health markers in adults, specifically CVD risk between younger adults aged 18-22 and a slightly older group of adults in middle adulthood aged 23-54. Cardiovascular health measures were collected from a group of adults; 13 younger adults (20.2±0.9 yrs) and 10 adults in middle adulthood (42.9±10.1 yrs). All participants were free of CVD and diabetes, taking no cholesterol medication, and no more than one blood pressure (BP) medication. Cardiovascular measures included clinical and 24-hour BP, body mass index (BMI), fasted plasma glucose and cholesterol levels, and VO2max. There was no difference in VO2max, glucose and cholesterol levels, or clinical BP measures between the groups, but there were differences in diastolic 24-hour BP, daytime diastolic BP, and nighttime diastolic BP (p<0.05 for all). No relationship between 24-hour BP and cardiovascular health variables were observed in the younger group of adults. However, there was a relationship between 24-hour systolic BP and daytime systolic BP with glucose, HDL, and triglycerides in the group of adults aged 23-54 (p<0.05 for all). The results of the present study suggest that systolic BP may have an effect on CVD risk in adults over the age of 23 years. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=124925934&site=ehost-live"
