PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"18470666","Effect of combined exercise training on bone, body balance, and gait ability: a randomized controlled study in community-dwelling elderly women","Park H, Kim KJ, Komatsu T, Park SK, Mutoh Y.","J Bone Miner Metab. 2008;26(3):254-9. doi: 10.1007/s00774-007-0819-z. Epub 2008 May 11.","Park H","J Bone Miner Metab","2008","2008/05/13","","","10.1007/s00774-007-0819-z"
"18487898","Tai Chi training for patients with coronary heart disease","Lan C, Chen SY, Wong MK, Lai JS.","Med Sport Sci. 2008;52:182-194. doi: 10.1159/000134299.","Lan C","Med Sport Sci","2008","2008/05/20","","","10.1159/000134299"
"18491452","Anthropometric characteristics evolution in elite rhythmic gymnasts","di Cagno A, Baldari C, Battaglia C, Guidetti L, Piazza M.","Ital J Anat Embryol. 2008 Jan-Mar;113(1):29-35.","di Cagno A","Ital J Anat Embryol","2008","2008/05/22","","",""
"18533414","Effects of respiratory resistance training with a concurrent flow device on wheelchair athletes","Litchke LG, Russian CJ, Lloyd LK, Schmidt EA, Price L, Walker JL.","J Spinal Cord Med. 2008;31(1):65-71. doi: 10.1080/10790268.2008.11753983.","Litchke LG","J Spinal Cord Med","2008","2008/06/07","PMC2435026","","10.1080/10790268.2008.11753983"
"18645242","A new simple performance test focused on agility in elderly people: The Ten Step Test","Miyamoto K, Takebayashi H, Takimoto K, Miyamoto S, Morioka S, Yagi F.","Gerontology. 2008;54(6):365-72. doi: 10.1159/000146787. Epub 2008 Jul 19.","Miyamoto K","Gerontology","2008","2008/07/23","","","10.1159/000146787"
"18677589","The benefit of strength training on arterial blood pressure in patients with type 2 diabetes mellitus measured with ambulatory 24-hour blood pressure systems","Strasser B, Haber P, Strehblow C, Cauza E.","Wien Med Wochenschr. 2008;158(13-14):379-84. doi: 10.1007/s10354-008-0550-y.","Strasser B","Wien Med Wochenschr","2008","2008/08/05","","","10.1007/s10354-008-0550-y"
"18797162","Cardiopulmonary data in response to 6 months of training in physically active adult patients with classic cystic fibrosis","Sahlberg M, Eriksson BO, Sixt R, Strandvik B.","Respiration. 2008;76(4):413-20. doi: 10.1159/000156862. Epub 2008 Sep 17.","Sahlberg M","Respiration","2008","2008/09/18","","","10.1159/000156862"
"19009468","Effects of modified electrical stimulation-induced leg cycle ergometer training for individuals with spinal cord injury","Janssen TW, Pringle DD.","J Rehabil Res Dev. 2008;45(6):819-30. doi: 10.1682/jrrd.2007.09.0153.","Janssen TW","J Rehabil Res Dev","2008","2008/11/15","","","10.1682/jrrd.2007.09.0153"
"19026020","Understanding change of direction ability in sport: a review of resistance training studies","Brughelli M, Cronin J, Levin G, Chaouachi A.","Sports Med. 2008;38(12):1045-63. doi: 10.2165/00007256-200838120-00007.","Brughelli M","Sports Med","2008","2008/11/26","","","10.2165/00007256-200838120-00007"
"19083385","Short-duration beta-alanine supplementation increases training volume and reduces subjective feelings of fatigue in college football players","Hoffman JR, Ratamess NA, Faigenbaum AD, Ross R, Kang J, Stout JR, Wise JA.","Nutr Res. 2008 Jan;28(1):31-5. doi: 10.1016/j.nutres.2007.11.004.","Hoffman JR","Nutr Res","2008","2008/12/17","","","10.1016/j.nutres.2007.11.004"
"19089746","Neuromuscular recovery of the biceps brachii muscle after resistance exercise","Oliveira AS, Gonçalves M.","Res Sports Med. 2008;16(4):244-56. doi: 10.1080/15438620802310800.","Oliveira AS","Res Sports Med","2008","2008/12/18","","","10.1080/15438620802310800"
"19157267","Physical training--beyond increasing exercise capacity","Zdrenghea D, Poantă L, Pop D, Zdrenghea V, Zdrenghea M.","Rom J Intern Med. 2008;46(1):17-27.","Zdrenghea D","Rom J Intern Med","2008","2009/01/23","","",""
"19212037","Arm-cranking exercise assisted by Functional Electrical Stimulation in C6 tetraplegia: a pilot study","Coupaud S, Gollee H, Hunt KJ, Fraser MH, Allan DB, McLean AN.","Technol Health Care. 2008;16(6):415-27.","Coupaud S","Technol Health Care","2008","2009/02/13","","",""
"19230216","Therapeutic effects of strengthening exercise on gait function of cerebral palsy","Lee JH, Sung IY, Yoo JY.","Disabil Rehabil. 2008;30(19):1439-44. doi: 10.1080/09638280701618943.","Lee JH","Disabil Rehabil","2008","2009/02/21","","","10.1080/09638280701618943"
"19337549","Arterial pulse wave velocity, inflammatory markers, pathological GH and IGF states, cardiovascular and cerebrovascular disease","Graham MR, Evans P, Davies B, Baker JS.","Vasc Health Risk Manag. 2008;4(6):1361-71. doi: 10.2147/vhrm.s3220.","Graham MR","Vasc Health Risk Manag","2008","2009/04/02","PMC2663454","","10.2147/vhrm.s3220"
"22433042","Effect of creatine supplementation on muscle capacity in individuals with multiple sclerosis","Malin SK, Cotugna N, Fang CS.","J Diet Suppl. 2008;5(1):20-32. doi: 10.1080/19390210802328974.","Malin SK","J Diet Suppl","2008","2012/03/22","","","10.1080/19390210802328974"
"18173841","Effects of beta-hydroxy-beta-methylbutyrate (HMB) on exercise performance and body composition across varying levels of age, sex, and training experience: A review","Wilson GJ, Wilson JM, Manninen AH.","Nutr Metab (Lond). 2008 Jan 3;5:1. doi: 10.1186/1743-7075-5-1.","Wilson GJ","Nutr Metab (Lond)","2008","2008/01/05","PMC2245953","","10.1186/1743-7075-5-1"
"18194584","Low-volume muscular endurance and strength training during 3-week forearm immobilization was effective in preventing functional deterioration","Matsumura M, Ueda C, Shiroishi K, Esaki K, Ohmori F, Yamaguchi K, Ichimura S, Kurosawa Y, Kime R, Osada T, Murase N, Katsumura T, Hoshika A, Hamaoka T.","Dyn Med. 2008 Jan 15;7:1. doi: 10.1186/1476-5918-7-1.","Matsumura M","Dyn Med","2008","2008/01/16","PMC2254413","","10.1186/1476-5918-7-1"
"18254007","Physical training for cystic fibrosis","Bradley J, Moran F.","Cochrane Database Syst Rev. 2008 Jan 23;(1):CD002768. doi: 10.1002/14651858.CD002768.pub2.","Bradley J","Cochrane Database Syst Rev","2008","2008/02/07","","","10.1002/14651858.CD002768.pub2"
"17490456","Effects of 6 months of walking training on lower limb muscle and tendon in elderly","Kubo K, Ishida Y, Suzuki S, Komuro T, Shirasawa H, Ishiguro N, Shukutani Y, Tsunoda N, Kanehisa H, Fukunaga T.","Scand J Med Sci Sports. 2008 Feb;18(1):31-9. doi: 10.1111/j.1600-0838.2007.00654.x. Epub 2007 May 9.","Kubo K","Scand J Med Sci Sports","2008","2007/05/11","","","10.1111/j.1600-0838.2007.00654.x"
"17586582","Circuit weight training and cardiac morphology: a trial with magnetic resonance imaging","Camargo MD, Stein R, Ribeiro JP, Schvartzman PR, Rizzatti MO, Schaan BD.","Br J Sports Med. 2008 Feb;42(2):141-5; discussion 145. doi: 10.1136/bjsm.2007.038281. Epub 2007 Jun 22.","Camargo MD","Br J Sports Med","2008","2007/06/26","","","10.1136/bjsm.2007.038281"
"17926060","Resistance training using eccentric overload induces early adaptations in skeletal muscle size","Norrbrand L, Fluckey JD, Pozzo M, Tesch PA.","Eur J Appl Physiol. 2008 Feb;102(3):271-81. doi: 10.1007/s00421-007-0583-8. Epub 2007 Oct 10.","Norrbrand L","Eur J Appl Physiol","2008","2007/10/11","","","10.1007/s00421-007-0583-8"
"17932746","Resistance exercise: training adaptations and developing a safe exercise prescription","Braith RW, Beck DT.","Heart Fail Rev. 2008 Feb;13(1):69-79. doi: 10.1007/s10741-007-9055-9.","Braith RW","Heart Fail Rev","2008","2007/10/13","","","10.1007/s10741-007-9055-9"
"17934755","Peak lifting velocities of men and women for the reduced inertia squat exercise using force control","Paulus DC, Reiser RF 2nd, Troxell WO.","Eur J Appl Physiol. 2008 Feb;102(3):299-305. doi: 10.1007/s00421-007-0585-6. Epub 2007 Oct 13.","Paulus DC","Eur J Appl Physiol","2008","2007/10/16","","","10.1007/s00421-007-0585-6"
"18003794","Effects of short-term GH supplementation and treadmill exercise training on physical performance and skeletal muscle apoptosis in old rats","Marzetti E, Groban L, Wohlgemuth SE, Lees HA, Lin M, Jobe H, Giovannini S, Leeuwenburgh C, Carter CS.","Am J Physiol Regul Integr Comp Physiol. 2008 Feb;294(2):R558-67. doi: 10.1152/ajpregu.00620.2007. Epub 2007 Nov 14.","Marzetti E","Am J Physiol Regul Integr Comp Physiol","2008","2007/11/16","","","10.1152/ajpregu.00620.2007"
"18202563","Neuromuscular fatigue and recovery in elite female soccer: effects of active recovery","Andersson H, Raastad T, Nilsson J, Paulsen G, Garthe I, Kadi F.","Med Sci Sports Exerc. 2008 Feb;40(2):372-80. doi: 10.1249/mss.0b013e31815b8497.","Andersson H","Med Sci Sports Exerc","2008","2008/01/19","","","10.1249/mss.0b013e31815b8497"
"18202565","Effects of an entire season on physical fitness in elite female handball players","Granados C, Izquierdo M, Ibáñez J, Ruesta M, Gorostiaga EM.","Med Sci Sports Exerc. 2008 Feb;40(2):351-61. doi: 10.1249/mss.0b013e31815b4905.","Granados C","Med Sci Sports Exerc","2008","2008/01/19","","","10.1249/mss.0b013e31815b4905"
"18202577","Cross-transfer effects of resistance training with blood flow restriction","Madarame H, Neya M, Ochi E, Nakazato K, Sato Y, Ishii N.","Med Sci Sports Exerc. 2008 Feb;40(2):258-63. doi: 10.1249/mss.0b013e31815c6d7e.","Madarame H","Med Sci Sports Exerc","2008","2008/01/19","","","10.1249/mss.0b013e31815c6d7e"
"18230822","Long-standing, insulin-treated type 2 diabetes patients with complications respond well to short-term resistance and interval exercise training","Praet SF, Jonkers RA, Schep G, Stehouwer CD, Kuipers H, Keizer HA, van Loon LJ.","Eur J Endocrinol. 2008 Feb;158(2):163-72. doi: 10.1530/EJE-07-0169.","Praet SF","Eur J Endocrinol","2008","2008/01/31","","","10.1530/EJE-07-0169"
"18277180","Effects of exercise training on forearm and calf vasodilation and proinflammatory markers in recent heart transplant recipients: a pilot study","Pierce GL, Schofield RS, Casey DP, Hamlin SA, Hill JA, Braith RW.","Eur J Cardiovasc Prev Rehabil. 2008 Feb;15(1):10-8. doi: 10.1097/HJR.0b013e3282f0b63b.","Pierce GL","Eur J Cardiovasc Prev Rehabil","2008","2008/02/16","","","10.1097/HJR.0b013e3282f0b63b"
"18347674","The potential benefits of creatine and conjugated linoleic acid as adjuncts to resistance training in older adults","Tarnopolsky MA, Safdar A.","Appl Physiol Nutr Metab. 2008 Feb;33(1):213-27. doi: 10.1139/H07-142.","Tarnopolsky MA","Appl Physiol Nutr Metab","2008","2008/03/19","","","10.1139/H07-142"
"18509576","Patients with acute spinal cord injury benefit from normocapnic hyperpnoea training","Van Houtte S, Vanlandewijck Y, Kiekens C, Spengler CM, Gosselink R.","J Rehabil Med. 2008 Feb;40(2):119-25. doi: 10.2340/16501977-0140.","Van Houtte S","J Rehabil Med","2008","2008/05/30","","","10.2340/16501977-0140"
"17502877","The association between regional body composition and metabolic outcomes in athletes with spinal cord injury","Mojtahedi MC, Valentine RJ, Arngrímsson SA, Wilund KR, Evans EM.","Spinal Cord. 2008 Mar;46(3):192-7. doi: 10.1038/sj.sc.3102076. Epub 2007 May 15.","Mojtahedi MC","Spinal Cord","2008","2007/05/16","","","10.1038/sj.sc.3102076"
"18037283","Endurance or resistance training in primary care after in-patient rehabilitation for COPD?","Skumlien S, Aure Skogedal E, Skrede Ryg M, Bjørtuft Ø.","Respir Med. 2008 Mar;102(3):422-9. doi: 10.1016/j.rmed.2007.10.008. Epub 2007 Nov 26.","Skumlien S","Respir Med","2008","2007/11/27","","","10.1016/j.rmed.2007.10.008"
"18212711","The ability of isoinertial assessment to monitor specific training effects","Jidovtseff B, Croisier J-, Scimar N, Demoulin C, Maquet D, Crielaard J-.","J Sports Med Phys Fitness. 2008 Mar;48(1):55-64.","Jidovtseff B","J Sports Med Phys Fitness","2008","2008/01/24","","",""
"18280441","Lower muscle strength gains in older men with type 2 diabetes after resistance training","Ibáñez J, Gorostiaga EM, Alonso AM, Forga L, Argüelles I, Larrión JL, Izquierdo M.","J Diabetes Complications. 2008 Mar-Apr;22(2):112-8. doi: 10.1016/j.jdiacomp.2007.06.008.","Ibáñez J","J Diabetes Complications","2008","2008/02/19","","","10.1016/j.jdiacomp.2007.06.008"
"18295624","Effects of electric stimulation-assisted cycling training in people with chronic stroke","Janssen TW, Beltman JM, Elich P, Koppe PA, Konijnenbelt H, de Haan A, Gerrits KH.","Arch Phys Med Rehabil. 2008 Mar;89(3):463-9. doi: 10.1016/j.apmr.2007.09.028.","Janssen TW","Arch Phys Med Rehabil","2008","2008/02/26","","","10.1016/j.apmr.2007.09.028"
"18379212","Endurance training and obesity: effect on substrate metabolism and insulin sensitivity","Venables MC, Jeukendrup AE.","Med Sci Sports Exerc. 2008 Mar;40(3):495-502. doi: 10.1249/MSS.0b013e31815f256f.","Venables MC","Med Sci Sports Exerc","2008","2008/04/02","","","10.1249/MSS.0b013e31815f256f"
"18383987","Efficacy of lifestyle changes in modifying practical markers of wellness and aging","Masley SC, Weaver W, Peri G, Phillips SE.","Altern Ther Health Med. 2008 Mar-Apr;14(2):24-9.","Masley SC","Altern Ther Health Med","2008","2008/04/04","","",""
"18494188","Physical activity related to forced vital capacity and strength performance in a sample of young males and females","Fuster V, Rebato E, Rosique J, Fernández López JR.","Coll Antropol. 2008 Mar;32(1):53-60.","Fuster V","Coll Antropol","2008","2008/05/23","","",""
"18494210","The impact of football training on motor development in male children","Erceg M, Zagorac N, Katić R.","Coll Antropol. 2008 Mar;32(1):241-7.","Erceg M","Coll Antropol","2008","2008/05/23","","",""
"18550949","The 30-15 intermittent fitness test: accuracy for individualizing interval training of young intermittent sport players","Buchheit M.","J Strength Cond Res. 2008 Mar;22(2):365-74. doi: 10.1519/JSC.0b013e3181635b2e.","Buchheit M","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e3181635b2e"
"18550953","The effect of strength training on three-kilometer performance in recreational women endurance runners","Kelly CM, Burnett AF, Newton MJ.","J Strength Cond Res. 2008 Mar;22(2):396-403. doi: 10.1519/JSC.0b013e318163534a.","Kelly CM","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e318163534a"
"18550956","Significant strength gains observed in rugby players after specific resistance exercise protocols based on individual salivary testosterone responses","Beaven CM, Cook CJ, Gill ND.","J Strength Cond Res. 2008 Mar;22(2):419-25. doi: 10.1519/JSC.0b013e31816357d4.","Beaven CM","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e31816357d4"
"18550957","Salivary testosterone and cortisol responses in professional rugby players after four resistance exercise protocols","Beaven CM, Gill ND, Cook CJ.","J Strength Cond Res. 2008 Mar;22(2):426-32. doi: 10.1519/JSC.0b013e3181635843.","Beaven CM","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e3181635843"
"18550958","Force-time curve characteristics and hormonal alterations during an eleven-week training period in elite women weightlifters","Haff GG, Jackson JR, Kawamori N, Carlock JM, Hartman MJ, Kilgore JL, Morris RT, Ramsey MW, Sands WA, Stone MH.","J Strength Cond Res. 2008 Mar;22(2):433-46. doi: 10.1519/JSC.0b013e31816191be.","Haff GG","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e31816191be"
"18550959","An electromyographic comparison of neck conditioning exercises in healthy controls","Burnett AF, Coleman JL, Netto KJ.","J Strength Cond Res. 2008 Mar;22(2):447-54. doi: 10.1519/JSC.0b013e3181635641.","Burnett AF","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e3181635641"
"18550961","The effect of ephedra and caffeine on maximal strength and power in resistance-trained athletes","Williams AD, Cribb PJ, Cooke MB, Hayes A.","J Strength Cond Res. 2008 Mar;22(2):464-70. doi: 10.1519/JSC.0b013e3181660320.","Williams AD","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e3181660320"
"18550963","Electromyographic amplitude ratio of serratus anterior and upper trapezius muscles during modified push-ups and bench press exercises","Martins J, Tucci HT, Andrade R, Araújo RC, Bevilaqua-Grossi D, Oliveira AS.","J Strength Cond Res. 2008 Mar;22(2):477-84. doi: 10.1519/JSC.0b013e3181660748.","Martins J","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e3181660748"
"18550968","Do skill-based conditioning games offer a specific training stimulus for junior elite volleyball players?","Gabbett TJ.","J Strength Cond Res. 2008 Mar;22(2):509-17. doi: 10.1519/JSC.0b013e3181634550.","Gabbett TJ","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e3181634550"
"18550971","Endothelial function in highly endurance-trained men: effects of acute exercise","Rognmo O, Bjørnstad TH, Kahrs C, Tjønna AE, Bye A, Haram PM, Stølen T, Slørdahl SA, Wisløff U.","J Strength Cond Res. 2008 Mar;22(2):535-42. doi: 10.1519/JSC.0b013e31816354b1.","Rognmo O","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e31816354b1"
"18550974","The anaerobic endurance of elite soccer players improved after a high-intensity training intervention in the 8-week conditioning program","Sporis G, Ruzic L, Leko G.","J Strength Cond Res. 2008 Mar;22(2):559-66. doi: 10.1519/JSC.0b013e3181660401.","Sporis G","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e3181660401"
"18550975","The effects of combining elastic and free weight resistance on strength and power in athletes","Anderson CE, Sforzo GA, Sigg JA.","J Strength Cond Res. 2008 Mar;22(2):567-74. doi: 10.1519/JSC.0b013e3181634d1e.","Anderson CE","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e3181634d1e"
"18550978","Chronic stretching and voluntary muscle force","LaRoche DP, Lussier MV, Roy SJ.","J Strength Cond Res. 2008 Mar;22(2):589-96. doi: 10.1519/JSC.0b013e3181636aef.","LaRoche DP","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e3181636aef"
"18550979","Comparison of responses to strenuous eccentric exercise of the elbow flexors between resistance-trained and untrained men","Newton MJ, Morgan GT, Sacco P, Chapman DW, Nosaka K.","J Strength Cond Res. 2008 Mar;22(2):597-607. doi: 10.1519/JSC.0b013e3181660003.","Newton MJ","J Strength Cond Res","2008","2008/06/14","","","10.1519/JSC.0b013e3181660003"
"18714725","[Optimization of directed training loads on the respiratory system]","Baranov VM, Solopov IN, Gorbaneva EP, Tamozhnikov DV, Iumatova SN, Kuznetsova TIu, Sentiabrev NN, Kamchatnikov AG, Tkachenko NV, Medvedev DV.","Aviakosm Ekolog Med. 2008 Mar-Apr;42(2):36-9.","Baranov VM","Aviakosm Ekolog Med","2008","2008/08/22","","",""
"19193953","Physiological and anthropometric determinants of rhythmic gymnastics performance","Douda HT, Toubekis AG, Avloniti AA, Tokmakidis SP.","Int J Sports Physiol Perform. 2008 Mar;3(1):41-54. doi: 10.1123/ijspp.3.1.41.","Douda HT","Int J Sports Physiol Perform","2008","2009/02/06","","","10.1123/ijspp.3.1.41"
"24150148","Echocardiographic parameters in athletes of different sports","Venckunas T, Lionikas A, Marcinkeviciene JE, Raugaliene R, Alekrinskis A, Stasiulis A.","J Sports Sci Med. 2008 Mar 1;7(1):151-6. eCollection 2008.","Venckunas T","J Sports Sci Med","2008","2013/10/24","PMC3763341","",""
"18371210","Exercise training with dietary counselling increases mitochondrial chaperone expression in middle-aged subjects with impaired glucose tolerance","Venojärvi M, Aunola S, Puhke R, Marniemi J, Hämäläinen H, Halonen JP, Lindström J, Rastas M, Hällsten K, Nuutila P, Hänninen O, Atalay M.","BMC Endocr Disord. 2008 Mar 27;8:3. doi: 10.1186/1472-6823-8-3.","Venojärvi M","BMC Endocr Disord","2008","2008/03/29","PMC2330145","","10.1186/1472-6823-8-3"
"17761436","Tripping without falling; lower limb strength, a limitation for balance recovery and a target for training in the elderly","Pijnappels M, Reeves ND, Maganaris CN, van Dieën JH.","J Electromyogr Kinesiol. 2008 Apr;18(2):188-96. doi: 10.1016/j.jelekin.2007.06.004. Epub 2007 Aug 29.","Pijnappels M","J Electromyogr Kinesiol","2008","2007/09/01","","","10.1016/j.jelekin.2007.06.004"
"18071742","Strength training improves supramaximal cycling but not anaerobic capacity","Minahan C, Wood C.","Eur J Appl Physiol. 2008 Apr;102(6):659-66. doi: 10.1007/s00421-007-0641-2. Epub 2007 Dec 11.","Minahan C","Eur J Appl Physiol","2008","2007/12/12","","","10.1007/s00421-007-0641-2"
"18096751","Training-specific changes in cardiac structure and function: a prospective and longitudinal assessment of competitive athletes","Baggish AL, Wang F, Weiner RB, Elinoff JM, Tournoux F, Boland A, Picard MH, Hutter AM Jr, Wood MJ.","J Appl Physiol (1985). 2008 Apr;104(4):1121-8. doi: 10.1152/japplphysiol.01170.2007. Epub 2007 Dec 20.","Baggish AL","J Appl Physiol (1985)","2008","2007/12/22","","","10.1152/japplphysiol.01170.2007"
"18197184","The effects of high-intensity intermittent exercise training on fat loss and fasting insulin levels of young women","Trapp EG, Chisholm DJ, Freund J, Boutcher SH.","Int J Obes (Lond). 2008 Apr;32(4):684-91. doi: 10.1038/sj.ijo.0803781. Epub 2008 Jan 15.","Trapp EG","Int J Obes (Lond)","2008","2008/01/17","","","10.1038/sj.ijo.0803781"
"18218826","Effects of whole-body vibration exercise on lower-extremity muscle strength and power in an older population: a randomized clinical trial","Rees SS, Murphy AJ, Watsford ML.","Phys Ther. 2008 Apr;88(4):462-70. doi: 10.2522/ptj.20070027. Epub 2008 Jan 24.","Rees SS","Phys Ther","2008","2008/01/26","","","10.2522/ptj.20070027"
"18218903","Effects of jump training on bone are preserved after detraining, regardless of estrogen secretion state in rats","Umemura Y, Nagasawa S, Sogo N, Honda A.","J Appl Physiol (1985). 2008 Apr;104(4):1116-20. doi: 10.1152/japplphysiol.00937.2007. Epub 2008 Jan 24.","Umemura Y","J Appl Physiol (1985)","2008","2008/01/26","","","10.1152/japplphysiol.00937.2007"
"18252894","Mitochondrial capacity in skeletal muscle is not stimulated by weight loss despite increases in insulin action and decreases in intramyocellular lipid content","Toledo FG, Menshikova EV, Azuma K, Radiková Z, Kelley CA, Ritov VB, Kelley DE.","Diabetes. 2008 Apr;57(4):987-94. doi: 10.2337/db07-1429. Epub 2008 Feb 5.","Toledo FG","Diabetes","2008","2008/02/07","","","10.2337/db07-1429"
"18258768","Group-based aerobic interval training in patients with chronic heart failure: Norwegian Ullevaal Model","Nilsson BB, Hellesnes B, Westheim A, Risberg MA.","Phys Ther. 2008 Apr;88(4):523-35. doi: 10.2522/ptj.20060374. Epub 2008 Feb 7.","Nilsson BB","Phys Ther","2008","2008/02/09","","","10.2522/ptj.20060374"
"18258769","Running training after stroke: a single-subject report","Miller EW, Combs SA, Fish C, Bense B, Owens A, Burch A.","Phys Ther. 2008 Apr;88(4):511-22. doi: 10.2522/ptj.20050240. Epub 2008 Feb 7.","Miller EW","Phys Ther","2008","2008/02/09","","","10.2522/ptj.20050240"
"18317371","Spinal reflex plasticity during maximal dynamic contractions after eccentric training","Duclay J, Martin A, Robbe A, Pousson M.","Med Sci Sports Exerc. 2008 Apr;40(4):722-34. doi: 10.1249/MSS.0b013e31816184dc.","Duclay J","Med Sci Sports Exerc","2008","2008/03/05","","","10.1249/MSS.0b013e31816184dc"
"18317375","Human muscle gene expression following resistance exercise and blood flow restriction","Drummond MJ, Fujita S, Abe T, Dreyer HC, Volpi E, Rasmussen BB.","Med Sci Sports Exerc. 2008 Apr;40(4):691-8. doi: 10.1249/MSS.0b013e318160ff84.","Drummond MJ","Med Sci Sports Exerc","2008","2008/03/05","PMC5088719","NIHMS489898","10.1249/MSS.0b013e318160ff84"
"18317378","Do sex or race differences influence strength training effects on muscle or fat?","Walts CT, Hanson ED, Delmonico MJ, Yao L, Wang MQ, Hurley BF.","Med Sci Sports Exerc. 2008 Apr;40(4):669-76. doi: 10.1249/MSS.0b013e318161aa82.","Walts CT","Med Sci Sports Exerc","2008","2008/03/05","PMC2991130","NIHMS240580","10.1249/MSS.0b013e318161aa82"
"18337359","Prevention of overuse injuries by a concurrent exercise program in subjects exposed to an increase in training load: a randomized controlled trial of 1020 army recruits","Brushøj C, Larsen K, Albrecht-Beste E, Nielsen MB, Løye F, Hölmich P.","Am J Sports Med. 2008 Apr;36(4):663-70. doi: 10.1177/0363546508315469. Epub 2008 Mar 12.","Brushøj C","Am J Sports Med","2008","2008/03/14","","","10.1177/0363546508315469"
"18346545","Forefoot injuries in dancers","Prisk VR, O'Loughlin PF, Kennedy JG.","Clin Sports Med. 2008 Apr;27(2):305-20. doi: 10.1016/j.csm.2007.12.005.","Prisk VR","Clin Sports Med","2008","2008/03/19","","","10.1016/j.csm.2007.12.005"
"18374884","Clenbuterol increases lean muscle mass but not endurance in patients with chronic heart failure","Kamalakkannan G, Petrilli CM, George I, LaManca J, McLaughlin BT, Shane E, Mancini DM, Maybaum S.","J Heart Lung Transplant. 2008 Apr;27(4):457-61. doi: 10.1016/j.healun.2008.01.013.","Kamalakkannan G","J Heart Lung Transplant","2008","2008/04/01","","","10.1016/j.healun.2008.01.013"
"18382819","Eight months of physical training in warm water improves physical and mental health in women with fibromyalgia: a randomized controlled trial","Tomas-Carus P, Gusi N, Häkkinen A, Häkkinen K, Leal A, Ortega-Alonso A.","J Rehabil Med. 2008 Apr;40(4):248-52. doi: 10.2340/16501977-0168.","Tomas-Carus P","J Rehabil Med","2008","2008/04/03","","","10.2340/16501977-0168"
"18391640","The effects of strength training on central arterial compliance in middle-aged and older adults","Cortez-Cooper MY, Anton MM, Devan AE, Neidre DB, Cook JN, Tanaka H.","Eur J Cardiovasc Prev Rehabil. 2008 Apr;15(2):149-55. doi: 10.1097/HJR.0b013e3282f02fe2.","Cortez-Cooper MY","Eur J Cardiovasc Prev Rehabil","2008","2008/04/09","","","10.1097/HJR.0b013e3282f02fe2"
"18412622","Balance training and ballistic strength training are associated with task-specific corticospinal adaptations","Schubert M, Beck S, Taube W, Amtage F, Faist M, Gruber M.","Eur J Neurosci. 2008 Apr;27(8):2007-18. doi: 10.1111/j.1460-9568.2008.06186.x.","Schubert M","Eur J Neurosci","2008","2008/04/17","","","10.1111/j.1460-9568.2008.06186.x"
"18427637","Cardiac remodelling: concentric versus eccentric hypertrophy in strength and endurance athletes","Mihl C, Dassen WR, Kuipers H.","Neth Heart J. 2008 Apr;16(4):129-33. doi: 10.1007/BF03086131.","Mihl C","Neth Heart J","2008","2008/04/23","PMC2300466","","10.1007/BF03086131"
"18461212","Effects of a 12-week exercise training programme on aerobic fitness, body composition, blood lipids and C-reactive protein in adolescents with obesity","Wong PC, Chia MY, Tsou IY, Wansaicheong GK, Tan B, Wang JC, Tan J, Kim CG, Boh G, Lim D.","Ann Acad Med Singap. 2008 Apr;37(4):286-93.","Wong PC","Ann Acad Med Singap","2008","2008/05/08","","",""
"20145778","Eccentric exercise in patients with chronic health conditions: a systematic review","Roig M, Shadgan B, Reid WD.","Physiother Can. 2008 Spring;60(2):146-60. doi: 10.3138/physio.60.2.146. Epub 2008 Oct 10.","Roig M","Physiother Can","2008","2010/02/11","PMC2792816","","10.3138/physio.60.2.146"
"18499368","Plasma hormones, muscle mass and strength in resistance-trained postmenopausal women","Orsatti FL, Nahas EA, Maesta N, Nahas-Neto J, Burini RC.","Maturitas. 2008 Apr 20;59(4):394-404. doi: 10.1016/j.maturitas.2008.04.002. Epub 2008 May 21.","Orsatti FL","Maturitas","2008","2008/05/24","","","10.1016/j.maturitas.2008.04.002"
"18426586","Minimal nutrition intervention with high-protein/low-carbohydrate and low-fat, nutrient-dense food supplement improves body composition and exercise benefits in overweight adults: A randomized controlled trial","Lockwood CM, Moon JR, Tobkin SE, Walter AA, Smith AE, Dalbo VJ, Cramer JT, Stout JR.","Nutr Metab (Lond). 2008 Apr 21;5:11. doi: 10.1186/1743-7075-5-11.","Lockwood CM","Nutr Metab (Lond)","2008","2008/04/23","PMC2383912","","10.1186/1743-7075-5-11"
